assemblea,codice,status,elettori,votanti,perc_votanti,aggiornamento,sezioni_perv,sezioni,coll_uni_perv,coll_uni,sezioni_coll_uni_perv,sk_bianche,sk_nulle,sk_contestate,livello,fine_riparto
scrutiniCI,01000000000,ESERCIZIO,1747346,1320192,"75,55",Dato aggiornato al 05/03/2018 - 16:18,2322,2322,9,9,0,10336,44580,165,I,
scrutiniCI,02000000000,ESERCIZIO,1632591,1220735,"74,77",Dato aggiornato al 05/03/2018 - 15:46,2493,2493,8,8,0,14101,48167,127,I,
scrutiniCI,03000000000,ESERCIZIO,2963196,2347293,"79,21",Dato aggiornato al 05/03/2018 - 16:16,3547,3547,15,15,0,23502,57325,509,I,
scrutiniCI,04000000000,ESERCIZIO,1646708,1260063,"76,52",Dato aggiornato al 05/03/2018 - 16:04,1983,1983,8,8,0,17765,40624,247,I,
scrutiniCI,05000000000,ESERCIZIO,1637008,1305919,"79,77",Dato aggiornato al 05/03/2018 - 15:46,1996,1996,8,8,0,19385,39872,145,I,
scrutiniCI,06000000000,ESERCIZIO,1249579,945493,"75,66",Dato aggiornato al 05/03/2018 - 15:46,1701,1701,6,6,0,13078,29055,71,I,
scrutiniCI,07000000000,ESERCIZIO,1485726,1153170,"77,61",Dato aggiornato al 05/03/2018 - 15:46,1883,1883,8,8,0,11026,31337,180,I,
scrutiniCI,08000000000,ESERCIZIO,2241715,1781237,"79,45",Dato aggiornato al 05/03/2018 - 15:46,2856,2856,11,11,0,16933,46178,122,I,
scrutiniCI,09000000000,ESERCIZIO,950403,713973,"75,12",Dato aggiornato al 05/03/2018 - 15:46,1369,1369,5,5,0,7512,24656,183,I,
scrutiniCI,11000000000,ESERCIZIO,3326889,-,-,Dato aggiornato al 05/03/2018 - 15:46,4503,4510,16,17,0,-,-,-,I,
scrutiniCI,12000000000,ESERCIZIO,2841131,-,-,Dato aggiornato al 05/03/2018 - 15:46,3953,3954,13,14,0,-,-,-,I,
scrutiniCI,13000000000,ESERCIZIO,672313,525978,"78,23",Dato aggiornato al 05/03/2018 - 15:46,1005,1005,3,3,0,5339,14618,81,I,
scrutiniCI,14000000000,ESERCIZIO,1184079,915119,"77,28",Dato aggiornato al 05/03/2018 - 15:46,1574,1574,6,6,0,10985,25072,110,I,
scrutiniCI,15000000000,ESERCIZIO,2890202,-,-,Dato aggiornato al 05/03/2018 - 16:23,3323,3473,1,14,0,-,-,-,I,
scrutiniCI,16000000000,ESERCIZIO,1502774,-,-,Dato aggiornato al 05/03/2018 - 16:24,1747,1812,4,7,0,-,-,-,I,
scrutiniCI,17000000000,ESERCIZIO,1045163,786533,"75,25",Dato aggiornato al 05/03/2018 - 15:46,1639,1639,5,5,0,9227,26260,85,I,
scrutiniCI,18000000000,ESERCIZIO,254108,182007,"71,62",Dato aggiornato al 05/03/2018 - 15:46,394,394,2,2,0,3249,7652,26,I,
scrutiniCI,19000000000,ESERCIZIO,2401003,1568793,"65,33",Dato aggiornato al 05/03/2018 - 15:46,2894,2894,12,12,0,10832,38473,106,I,
scrutiniCI,21000000000,ESERCIZIO,3268162,2257628,"69,07",Dato aggiornato al 05/03/2018 - 15:46,4026,4026,16,16,0,23930,73209,259,I,
